date,ranking,name,country,url,points,tournaments
08.09.2014,162,"Volandri, Filippo",ITA,/Tennis/Players/Vo/F/Filippo-Volandri.aspx,328,33
08.09.2014,163,"Menendez-Maceiras, Adrian",ESP,/Tennis/Players/Me/A/Adrian-Menendez-Maceiras.aspx,326,24
08.09.2014,164,"Krajicek, Austin",USA,/Tennis/Players/Kr/A/Austin-Krajicek.aspx,325,29
08.09.2014,165,"Saville, Luke",AUS,/Tennis/Players/Sa/L/Luke-Saville.aspx,322,24
08.09.2014,166,"Andreozzi, Guido",ARG,/Tennis/Players/An/G/Guido-Andreozzi.aspx,318,22
08.09.2014,167,"Nishioka, Yoshihito",JPN,/Tennis/Players/Ni/Y/Yoshihito-Nishioka.aspx,315,24
08.09.2014,168,"Buchanan, Chase",USA,/Tennis/Players/Bu/C/Chase-Buchanan.aspx,307,33
08.09.2014,169,"Martin, Andrej",SVK,/Tennis/Players/Ma/A/Andrej-Martin.aspx,305,25
08.09.2014,170,"Bemelmans, Ruben",BEL,/Tennis/Players/Be/R/Ruben-Bemelmans.aspx,303,29
08.09.2014,171,"Bozoljac, Ilija",SRB,/Tennis/Players/Bo/I/Ilija-Bozoljac.aspx,300,20
08.09.2014,172,"Daniel, Taro",JPN,/Tennis/Players/Da/T/Taro-Daniel.aspx,299,26
08.09.2014,173,"Molchanov, Denys",UKR,/Tennis/Players/Mo/D/Denys-Molchanov.aspx,297,28
08.09.2014,174,"Copil, Marius",ROU,/Tennis/Players/Co/M/Marius-Copil.aspx,296,25
08.09.2014,175,"Odesnik, Wayne",USA,/Tennis/Players/Od/W/Wayne-Odesnik.aspx,293,21
08.09.2014,176,"Coric, Borna",CRO,/Tennis/Players/Co/B/Borna-Coric.aspx,292,21
08.09.2014,177,"Brands, Daniel",GER,/Tennis/Players/Br/D/Daniel-Brands.aspx,291,19
08.09.2014,178,"Llodra, Michael",FRA,/Tennis/Players/Top-Players/Michael-Llodra.aspx,291,12
08.09.2014,179,"Michon, Axel",FRA,/Tennis/Players/Mi/A/Axel-Michon.aspx,287,28
08.09.2014,180,"Chung, Hyeon",KOR,/Tennis/Players/Ch/H/Hyeon-Chung.aspx,285,22
08.09.2014,181,"Kokkinakis, Thanasi",AUS,/Tennis/Players/Ko/T/Thanasi-Kokkinakis.aspx,283,21
08.09.2014,182,"Harrison, Ryan",USA,/Tennis/Players/Top-Players/Ryan-Harrison.aspx,282,24
08.09.2014,183,"Pospisil, Jaroslav",CZE,/Tennis/Players/Po/J/Jaroslav-Pospisil.aspx,282,26
08.09.2014,184,"Kuznetsov, Alex",USA,/Tennis/Players/Ku/A/Alex-Kuznetsov.aspx,280,25
08.09.2014,185,"Sorensen, Louk",IRL,/Tennis/Players/So/L/Louk-Sorensen.aspx,279,18
08.09.2014,186,"Londero, Juan Ignacio",ARG,/Tennis/Players/Lo/J/Juan-Ignacio-Londero.aspx,278,23
08.09.2014,187,"Albot, Radu",MDA,/Tennis/Players/Al/R/Radu-Albot.aspx,275,26
08.09.2014,188,"Zhang, Ze",CHN,/Tennis/Players/Zh/Z/Ze-Zhang.aspx,274,24
08.09.2014,189,"Clezar, Guilherme",BRA,/Tennis/Players/Cl/G/Guilherme-Clezar.aspx,274,23
08.09.2014,190,"Huta Galung, Jesse",NED,/Tennis/Players/Hu/J/Jesse-Huta-Galung.aspx,272,29
08.09.2014,191,"Bachinger, Matthias",GER,/Tennis/Players/Ba/M/Matthias-Bachinger.aspx,270,23
08.09.2014,192,"Mecir, Miloslav",SVK,/Tennis/Players/Me/M/Miloslav-Mecir.aspx,268,20
08.09.2014,193,"Smith, John-Patrick",AUS,/Tennis/Players/Sm/J/John-Patrick-Smith.aspx,267,23
08.09.2014,194,"Ghem, Andre",BRA,/Tennis/Players/Gh/A/Andre-Ghem.aspx,264,28
08.09.2014,195,"McGee, James",IRL,/Tennis/Players/Mc/J/James-Mcgee.aspx,263,23
08.09.2014,196,"Kubler, Jason",AUS,/Tennis/Players/Ku/J/Jason-Kubler.aspx,261,25
08.09.2014,197,"Lama, Gonzalo",CHI,/Tennis/Players/La/G/Gonzalo-Lama.aspx,260,22
08.09.2014,198,"Arnaboldi, Andrea",ITA,/Tennis/Players/Ar/A/Andrea-Arnaboldi.aspx,259,27
08.09.2014,199,"Alund, Martin",ARG,/Tennis/Players/Al/M/Martin-Alund.aspx,259,31
08.09.2014,200,"Burquier, Gregoire",FRA,/Tennis/Players/Bu/G/Gregoire-Burquier.aspx,254,27
08.09.2014,201,"Dutra Silva, Rogerio",BRA,/Tennis/Players/Du/R/Rogerio-Dutra-Silva.aspx,250,22
08.09.2014,202,"Guez, David",FRA,/Tennis/Players/Gu/D/David-Guez.aspx,248,25
08.09.2014,203,"Ignatik, Uladzimir",BLR,/Tennis/Players/Ig/U/Uladzimir-Ignatik.aspx,245,30
08.09.2014,204,"Williams, Rhyne",USA,/Tennis/Players/Wi/R/Rhyne-R-Williams.aspx,244,21
08.09.2014,205,"Wu, Di",CHN,/Tennis/Players/Wu/D/Di-Wu.aspx,242,23
08.09.2014,206,"Davydenko, Nikolay",RUS,/Tennis/Players/Top-Players/Nikolay-Davydenko.aspx,240,15
08.09.2014,207,"Puetz, Tim",GER,/Tennis/Players/Pu/T/Tim-Puetz.aspx,240,20
08.09.2014,208,"Desein, Niels",BEL,/Tennis/Players/De/N/Niels-Desein.aspx,240,28
08.09.2014,209,"Ginepri, Robby",USA,/Tennis/Players/Gi/R/Robby-Ginepri.aspx,234,15
08.09.2014,210,"Fischer, Martin",AUT,/Tennis/Players/Fi/M/Martin-Fischer.aspx,231,23
08.09.2014,211,"Marti, Yann",SUI,/Tennis/Players/Ma/Y/Yann-Marti.aspx,229,22
08.09.2014,212,"Lopez-Perez, Enrique",ESP,/Tennis/Players/Lo/E/Enrique-Lopez-Perez.aspx,229,36
08.09.2014,213,"Carballes Baena, Roberto",ESP,/Tennis/Players/Ca/R/Roberto-Carballes-Baena.aspx,227,28
08.09.2014,214,"Bolt, Alex",AUS,/Tennis/Players/Bo/A/Alex-Bolt.aspx,226,23
08.09.2014,215,"Marcora, Roberto",ITA,/Tennis/Players/Ma/R/Roberto-Marcora.aspx,226,28
08.09.2014,216,"Lamasine, Tristan",FRA,/Tennis/Players/La/T/Tristan-Lamasine.aspx,225,32
08.09.2014,217,"Kravchuk, Konstantin",RUS,/Tennis/Players/Kr/K/Konstantin-Kravchuk.aspx,224,30
08.09.2014,218,"Podlipnik-Castillo, Hans",CHI,/Tennis/Players/Po/H/Hans-Podlipnik-Castillo.aspx,224,36
08.09.2014,219,"Thompson, Jordan",AUS,/Tennis/Players/Th/J/Jordan-Thompson.aspx,223,27
08.09.2014,220,"Gicquel, Marc",FRA,/Tennis/Players/Gi/M/Marc-Gicquel.aspx,222,16
08.09.2014,221,"Collarini, Andrea",ARG,/Tennis/Players/Co/A/Andrea-Collarini.aspx,222,23
08.09.2014,222,"Ramirez Hidalgo, Ruben",ESP,/Tennis/Players/Top-Players/Ruben-Ramirez-Hidalgo.aspx,221,21
08.09.2014,223,"Basilashvili, Nikoloz",GEO,/Tennis/Players/Ba/N/Nikoloz-Basilashvili.aspx,219,26
08.09.2014,224,"Veic, Antonio",CRO,/Tennis/Players/Ve/A/Antonio-Veic.aspx,218,19
08.09.2014,225,"Pouille, Lucas",FRA,/Tennis/Players/Po/L/Lucas-Pouille.aspx,217,24
08.09.2014,226,"Viola, Matteo",ITA,/Tennis/Players/Vi/M/Matteo-Viola.aspx,216,26
08.09.2014,227,"Mertl, Jan",CZE,/Tennis/Players/Me/J/Jan-Mertl.aspx,216,28
08.09.2014,228,"Androic, Toni",CRO,/Tennis/Players/An/T/Toni-Androic.aspx,215,31
08.09.2014,229,"Kovalik, Jozef",SVK,/Tennis/Players/Ko/J/Jozef-Kovalik.aspx,214,20
08.09.2014,230,"Mektic, Nikola",CRO,/Tennis/Players/Me/N/Nikola-Mektic.aspx,214,22
08.09.2014,231,"Olivo, Renzo",ARG,/Tennis/Players/Ol/R/Renzo-Olivo.aspx,213,22
08.09.2014,232,"Vaisse, Martin",FRA,/Tennis/Players/Va/M/Martin-Vaisse.aspx,212,27
08.09.2014,233,"De Greef, Arthur",BEL,/Tennis/Players/De/A/Arthur-De-Greef.aspx,209,28
08.09.2014,234,"Yang, Tsung-Hua",TPE,/Tennis/Players/Ya/T/Tsung-Hua-Yang.aspx,207,29
08.09.2014,235,"Mitchell, Benjamin",AUS,/Tennis/Players/Mi/B/Benjamin-Mitchell.aspx,206,21
08.09.2014,236,"Grigelis, Laurynas",LTU,/Tennis/Players/Gr/L/Laurynas-Grigelis.aspx,206,27
08.09.2014,237,"Edmund, Kyle",GBR,/Tennis/Players/Ed/K/Kyle-Edmund.aspx,205,23
08.09.2014,238,"Troicki, Viktor",SRB,/Tennis/Players/Top-Players/Viktor-Troicki.aspx,204,6
08.09.2014,239,"Cipolla, Flavio",ITA,/Tennis/Players/Ci/F/Flavio-Cipolla.aspx,203,25
08.09.2014,240,"Torebko, Peter",GER,/Tennis/Players/To/P/Peter-Torebko.aspx,203,29
08.09.2014,241,"Olivetti, Albano",FRA,/Tennis/Players/Ol/A/Albano-Olivetti.aspx,201,17
08.09.2014,242,"Ymer, Elias",SWE,/Tennis/Players/Ym/E/Elias-Ymer.aspx,201,24
08.09.2014,243,"Setkic, Aldin",BIH,/Tennis/Players/Se/A/Aldin-Setkic.aspx,201,30
08.09.2014,244,"Chen, Ti",TPE,/Tennis/Players/Ch/T/Ti-Chen.aspx,200,37
08.09.2014,245,"Fabbiano, Thomas",ITA,/Tennis/Players/Fa/T/Thomas-Fabbiano.aspx,198,23
08.09.2014,246,"Gerasimov, Egor",BLR,/Tennis/Players/Ge/E/Egor-Gerasimov.aspx,197,20
08.09.2014,247,"Coppejans, Kimmer",BEL,/Tennis/Players/Co/K/Kimmer-Coppejans.aspx,196,26
08.09.2014,248,"Reid, Matt",AUS,/Tennis/Players/Re/M/Matt-Reid.aspx,194,21
08.09.2014,249,"Mertens, Yannick",BEL,/Tennis/Players/Me/Y/Yannick-Mertens.aspx,194,30
08.09.2014,250,"Pavlasek, Adam",CZE,/Tennis/Players/Pa/A/Adam-Pavlasek.aspx,193,27
08.09.2014,251,"Samper-Montana, Jordi",ESP,/Tennis/Players/Sa/J/Jordi-Samper-Montana.aspx,193,28
08.09.2014,252,"Authom, Maxime",BEL,/Tennis/Players/Au/M/Maxime-Authom.aspx,192,21
08.09.2014,253,"Travaglia, Stefano",ITA,/Tennis/Players/Tr/S/Stefano-Travaglia.aspx,191,25
08.09.2014,254,"Smethurst, Daniel",GBR,/Tennis/Players/Sm/D/Daniel-Smethurst.aspx,191,21
08.09.2014,255,"Munoz-De La Nava, Daniel",ESP,/Tennis/Players/Mu/D/Daniel-Munoz-De-La-Nava.aspx,188,17
08.09.2014,256,"Lindell, Christian",SWE,/Tennis/Players/Li/C/Christian-Lindell.aspx,188,25
08.09.2014,257,"Uchiyama, Yasutaka",JPN,/Tennis/Players/Uc/Y/Yasutaka-Uchiyama.aspx,188,29
08.09.2014,258,"Karatsev, Aslan",RUS,/Tennis/Players/Ka/A/Aslan-Karatsev.aspx,186,21
08.09.2014,259,"Bourgue, Mathias",FRA,/Tennis/Players/Bo/M/Mathias-Bourgue.aspx,185,20
08.09.2014,260,"Krstin, Pedja",SRB,/Tennis/Players/Kr/P/Pedja-Krstin.aspx,183,24
08.09.2014,261,"Trungelliti, Marco",ARG,/Tennis/Players/Tr/M/Marco-Trungelliti.aspx,180,17
08.09.2014,262,"Brkic, Tomislav",BIH,/Tennis/Players/Br/T/Tomislav-Brkic.aspx,179,26
08.09.2014,263,"Weintraub, Amir",ISR,/Tennis/Players/We/A/Amir-Weintraub.aspx,178,15
08.09.2014,264,"Evans, Daniel",GBR,/Tennis/Players/Ev/D/Daniel-Evans.aspx,177,18
08.09.2014,265,"Granollers, Gerard",ESP,/Tennis/Players/Gr/G/Gerard-Granollers.aspx,176,29
08.09.2014,266,"Kosakowski, Daniel",USA,/Tennis/Players/Ko/D/Daniel-Kosakowski.aspx,175,18
08.09.2014,267,"Eysseric, Jonathan",FRA,/Tennis/Players/Ey/J/Jonathan-Eysseric.aspx,175,22
08.09.2014,268,"Diez, Steven",CAN,/Tennis/Players/Di/S/Steven-Diez.aspx,175,26
08.09.2014,269,"Ortega-Olmedo, Roberto",ESP,/Tennis/Players/Or/R/Roberto-Ortega-Olmedo.aspx,175,38
08.09.2014,270,"Safwat, Mohamed",EGY,/Tennis/Players/Sa/M/Mohamed-Safwat.aspx,174,30
08.09.2014,271,"Cox, Daniel",GBR,/Tennis/Players/Co/D/Daniel-Cox.aspx,172,26
08.09.2014,272,"Bogomolov Jr., Alex",RUS,/Tennis/Players/Top-Players/Alex-Bogomolov-Jr.aspx,170,19
08.09.2014,273,"Zopp, Jurgen",EST,/Tennis/Players/Zo/J/Jurgen-Zopp.aspx,168,14
08.09.2014,274,"Novak, Dennis",AUT,/Tennis/Players/De/N/Dennis-Novak.aspx,168,23
08.09.2014,275,"Giner, Marc",ESP,/Tennis/Players/Gi/M/Marc-Giner.aspx,168,28
08.09.2014,276,"Van Der Duim, Antal",NED,/Tennis/Players/Va/A/Antal-Van-Der-Duim.aspx,167,26
08.09.2014,277,"Corrie, Edward",GBR,/Tennis/Players/Co/E/Edward-Corrie.aspx,165,28
08.09.2014,278,"Jenkins, Jarmere",USA,/Tennis/Players/Je/J/Jarmere-Jenkins.aspx,164,17
08.09.2014,279,"Laaksonen, Henri",SUI,/Tennis/Players/La/H/Henri-Laaksonen.aspx,163,19
08.09.2014,280,"Machado, Rui",POR,/Tennis/Players/Ma/R/Rui-Machado.aspx,162,21
08.09.2014,281,"Cacic, Nikola",SRB,/Tennis/Players/Ca/N/Nikola-Cacic.aspx,161,21
08.09.2014,282,"Reuter, Yannik",BEL,/Tennis/Players/Re/Y/Yannik-Reuter.aspx,161,28
08.09.2014,283,"Ouanna, Josselin",FRA,/Tennis/Players/Ou/J/Josselin-Ouanna.aspx,159,16
08.09.2014,284,"Gomez, Emilio",ECU,/Tennis/Players/Go/E/Emilio-Gomez.aspx,159,21
08.09.2014,285,"Checa-Calvo, Jose",ESP,/Tennis/Players/Ch/J/Jose-Checa-Calvo.aspx,159,25
08.09.2014,286,"Barry, Sam",IRL,/Tennis/Players/Ba/S/Sam-Barry.aspx,159,25
08.09.2014,287,"Rice, David",GBR,/Tennis/Players/Ri/D/David-Rice.aspx,159,30
08.09.2014,288,"Smirnov, Artem",UKR,/Tennis/Players/Sm/A/Artem-Smirnov.aspx,158,21
08.09.2014,289,"Marie, Jules",FRA,/Tennis/Players/Ma/J/Jules-Marie.aspx,158,33
08.09.2014,290,"Gaio, Federico",ITA,/Tennis/Players/Ga/F/Federico-Gaio.aspx,158,34
08.09.2014,291,"Sandgren, Tennys",USA,/Tennis/Players/Sa/T/Tennys-Sandgren.aspx,157,11
08.09.2014,292,"Garanganga, Takanyi",ZIM,/Tennis/Players/Ga/T/Takanyi-Garanganga.aspx,157,18
08.09.2014,293,"Udomchoke, Danai",THA,/Tennis/Players/Ud/D/Danai-Udomchoke.aspx,157,22
08.09.2014,294,"Hernych, Jan",CZE,/Tennis/Players/He/J/Jan-Hernych.aspx,156,12
08.09.2014,295,"Crivoi, Victor",ROU,/Tennis/Players/Cr/V/Victor-Crivoi.aspx,156,18
08.09.2014,296,"Turini, Thales",BRA,/Tennis/Players/Tu/T/Thales-Turini.aspx,156,32
08.09.2014,297,"Cervantes, Inigo",ESP,/Tennis/Players/Ce/I/Inigo-Cervantes.aspx,155,13
08.09.2014,298,"Rudnev, Valery",RUS,/Tennis/Players/Ru/V/Valery-Rudnev.aspx,155,23
08.09.2014,299,"Westerhof, Boy",NED,/Tennis/Players/We/B/Boy-Westerhof.aspx,155,27
08.09.2014,300,"Klein, Brydan",GBR,/Tennis/Players/Kl/B/Brydan-Klein.aspx,154,21
08.09.2014,301,"Huang, Liang-Chi",TPE,/Tennis/Players/Hu/L/Liang-Chi-Huang.aspx,154,30
08.09.2014,302,"Jung, Jason",USA,/Tennis/Players/Ju/J/Jason-Jung.aspx,152,25
08.09.2014,303,"Obry, Julien",FRA,/Tennis/Players/Ob/J/Julien-Obry.aspx,152,30
08.09.2014,304,"Basic, Mirza",BIH,/Tennis/Players/Ba/M/Mirza-Basic.aspx,151,23
08.09.2014,305,"Lapentti, Giovanni",ECU,/Tennis/Players/La/G/Giovanni-Lapentti.aspx,151,23
08.09.2014,306,"Jarry, Nicolas",CHI,/Tennis/Players/Ja/N/Nicolas-Jarry.aspx,149,25
08.09.2014,307,"Broady, Liam",GBR,/Tennis/Players/Br/L/Liam-Broady.aspx,149,30
08.09.2014,308,"Cunha, Henrique",BRA,/Tennis/Players/Cu/H/Henrique-Cunha.aspx,148,22
08.09.2014,309,"Ramanathan, Ramkumar",IND,/Tennis/Players/Ra/R/Ramkumar-Ramanathan.aspx,148,29
08.09.2014,310,"Martin, Fabrice",FRA,/Tennis/Players/Ma/F/Fabrice-Martin.aspx,147,19
08.09.2014,311,"Quinzi, Gianluigi",ITA,/Tennis/Players/Qu/G/Gianluigi-Quinzi.aspx,147,20
08.09.2014,312,"Giustino, Lorenzo",ITA,/Tennis/Players/Gi/L/Lorenzo-Giustino.aspx,147,25
08.09.2014,313,"Balaji, N.Sriram",IND,/Tennis/Players/Na/S/N-Sriram-Balaji.aspx,147,26
08.09.2014,314,"Roca Batalla, Oriol",ESP,/Tennis/Players/Ro/O/Oriol-Roca-Batalla.aspx,146,31
08.09.2014,315,"Sousa, Pedro",POR,/Tennis/Players/So/P/Pedro-Sousa.aspx,144,9
08.09.2014,316,"Arevalo, Marcelo",ESA,/Tennis/Players/Ar/M/Marcelo-Arevalo.aspx,144,20
08.09.2014,317,"Molteni, Andres",ARG,/Tennis/Players/Mo/A/Andres-Molteni.aspx,143,26
08.09.2014,318,"Nedunchezhiyan, Jeevan",IND,/Tennis/Players/Ne/J/Jeevan-Nedunchezhiyan.aspx,141,26
08.09.2014,319,"King, Darian",BAR,/Tennis/Players/Ki/D/Darian-King.aspx,139,22
08.09.2014,320,"Ward, Alexander",GBR,/Tennis/Players/Wa/A/Alexander-Ward.aspx,138,16
08.09.2014,321,"Beck, Karol",SVK,/Tennis/Players/Be/K/Karol-Beck.aspx,138,17
08.09.2014,322,"Khachanov, Karen",RUS,/Tennis/Players/Kh/K/Karen-Khachanov.aspx,138,19
08.09.2014,323,"Phau, Bjorn",GER,/Tennis/Players/Ph/B/Bjorn-Phau.aspx,137,12
08.09.2014,324,"Trinker, Bastian",AUT,/Tennis/Players/Tr/B/Bastian-Trinker.aspx,137,34
08.09.2014,325,"Michalicka, Marek",CZE,/Tennis/Players/Mi/M/Marek-Michalicka.aspx,136,25
08.09.2014,326,"Mina, Gianni",FRA,/Tennis/Players/Mi/G/Gianni-Mina.aspx,135,22
08.09.2014,327,"Giannessi, Alessandro",ITA,/Tennis/Players/Gi/A/Alessandro-Giannessi.aspx,135,23
08.09.2014,328,"Garin, Christian",CHI,/Tennis/Players/Ga/C/Christian-Garin.aspx,135,23
08.09.2014,329,"Klec, Ivo",SVK,/Tennis/Players/Kl/I/Ivo-Klec.aspx,135,31
08.09.2014,330,"Hernandez, Jose",DOM,/Tennis/Players/He/J/Jose-Hernandez.aspx,134,23
